number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
29,Monica is a new Snowflake user with ACCOUNTADMIN role. She wants to create a warehouse which can scale out if needed. She tried to create the warehouse using UI but she is not able to find the options to set Minimum and Maximum Clusters. What could be the issue?,She should use SQL command to create the Warehouse with Minimum and Maximum clusters,She should ALTER any existing warehouse to set the Maximum and Minimum clusters,She doesn‘t have enough privilege to create a warehouse,She is using STANDARD Snowflake edition. Multi-Cluster is not available in STANDARD edition.,,,4,Multi-cluster feature is not available in Standard edition. It starts from Enterprise Edition.,,Test 6,6
30,What all commands will you use to load data from your Local File System to Snowflake table?,Only PUT command,COPY INTO followed by PUT command,PUT COMMAND followed by COPY INTO,Only COPY INTO command,,,3,"When loading data from local file system to Snowflake, you need to first run PUT command to load data from local file system to Snowflake internal stage and then run COPY INTO command to copy data from Snowflake internal stage to Table.",,Test 6,6
31,What is the column datatype used for ingesting semi-structured data?,VARCHAR,VARIANT,NUMBER,STRING,FLOAT,,2,Snowflake loads semi-structured data into a single VARIANT column. The VARIANT data type imposes a 16 MB (compressed) size limit on individual rows.,,Test 6,6
32,Snowflake maintains detailed metadata for each table into which data is loaded. For how long Snowflake keeps the metadata active?,16 Days,64 Days,32 Days,24 Hours,31 Days,,2,"Snowflake maintains detailed metadata for each table into which data is loaded, including: -Name of each file from which data was load -File Size -ETag for the file -Number of rows parsed in the file -Timestamp of the last load for the file -Information about any errors encountered in the file during loading The load metadata expires after 64 days.(LAST_MODIFIED date for a staged data).",,Test 6,6
33,If a DBA_ROLE creates a Database. Later the DBA_ROLE was dropped. Who will own the Database now which was created by DBA_ROLE?,Database will be dropped,No one can access,Role who dropped the DBA_ROLE,DBA_ROLE cant be dropped as it is the owner of the Database.,,,3,The role who dropped the DBA_ROLE will own that database. (IMPORTANT QUESTION),,Test 6,6
34,Semi-structured data types can be cast using what method?,Column_name::,Column_name AS,() Column_name,Column_name CAST TO,Column_name AS_,,1,Usage of Two colons is the correct syntax for Casting.,,Test 6,6
35,What all commands will you use to unload data from your Snowflake table to your local file systems?,Only COPY INTO command,COPY INTO command followed by GET command,Only GET command,COPY INTO followed by PUT command,,,2,First copy the data from Snowflake table to Internal Stage using COPY INTO command and then unload data from internal stage to your local file system using GET command.,,Test 6,6
36,Snowflake has a default file format if none is explicitly set or declared in SQL syntax. (TRUE / FALSE),FALSE,TRUE,,,,,2,"True, Snowflake has a default file format if none is explicitly set or declared in SQL syntax",,Test 6,6
37,Semi-Structured data must be transformed prior to loading the data into a Snowflake table. (TRUE / FALSE),FALSE,TRUE,,,,,1,"Snowflake natively supports semi-structured data, it is not must to transformed Semi-Structured data prior to loading the data into a Snowflake table.",,Test 6,6
38,What is the best option to automatically delete the files from stage after it got loaded using COPY INTO command?,Cloud provider deletes the file automatically,Setting DELETE = TRUE in COPY INTO command,Delete manually using Cloud Provide UI delete option as soon as file is loaded,Setting PURGE = TRUE in COPY INTO command,,,4,"PURGE = TRUE parameter helps remove the data files from the stage automatically after the data is loaded successfully. If the purge operation fails for any reason, no error is returned currently. So, you should also run LIST command periodically to check the available files in stage and manually remove successfully loaded files, if any exist.",,Test 6,6
39,Dynamic Data Masking is supported by:,Standard Edition,Business Critical,Enterprise Edition,VPS,,,"2, 3, 4",Dynamic Data Masking starts with the Enterprise edition.,,Test 6,6
40,How can you validate the COPY INTO command before actually loading data into the table?,Simply count the loaded records and match with stage,USE parameter VALIDATION_MODE = RETURN__ROWS | RETURN_ERRORS |RETURN_ALL_ERRORS,Use parameter VALIDATION_COPY = TRUE | RETURN__ROWS | RETURN_ERRORS |RETURN_ALL_ERRORS with COPY INTO command,None of these,,,2,VALIDATION_MODE instructs the COPY command to validate the data files instead of loading them into the specified table; i.e. the COPY command tests the files for errors but does not load them. The command validates the data to be loaded and returns results based on the validation option specified.,,Test 6,6
41,Which of the following workload is Snowflake suited for?,Data Lakes,Data Warehouse,Data Science,Data Engineering,Data Sharing and Exchanges,Data Applications,"1, 2, 3, 4, 5, 6",Snowflake is not a just Data Warehouse platform. It is a Data platform which can handle all of these workloads.,,Test 6,6
42,Reclustering in Snowflake is automatic. (TRUE / FALSE),FALSE,TRUE,,,,,2,Reclustering in Snowflake is automatic; no maintenance is needed.,,Test 6,6
43,"John wants to create a multi-cluster warehouse and wants to make sure that whenever new queries are queued, additional clusters should start immediately. How should he configure the Warehouse?",Configure as SCALE-MAX so that the warehouse is always using maximum number of specified clusters,"Snowflake takes care of this automatically so, John does not have to worry about it",Set the SCALING POLICY as ECONOMY,Set the SCALING POLICY as STANDARD,,,4,If a multi-cluster warehouse is configured with SCALING policy as STANDARD it immediately when either a query is queued or the system detects that theres one more query than the currently-running clusters can execute,,Test 6,6
44,At what frequency does Snowflake rotate the object keys?,60 Days,16 Days,30 Days,1 Year,,,3,Key automatically get rotated every 30 days.,,Test 6,6
45,What is the default compression algorithm Snowflake apply while unloading data?,GZIP3,BZ2,ZSTD,NONE,GZIP,,5,"When unloading data, files are automatically compressed using the default, which is gzip.",,Test 6,6
46,John has setup process to load specific set of files using both Bulk and Snowpipe. This is best practice to avoid any missed loading either by Bulk loading or Snowpipe. (TRUE /FALSE),TRUE,FALSE,,,,,2,"This is not a best practice, it may create reloading issue. To avoid reloading files (and duplicating data), Snowflake recommends loading data from a specific set of files using either bulk data loading or Snowpipe but not both.",,Test 6,6
47,What are the correct SQL extensions used in querying data from Time Travel? Select 2.,AFTER,INITIAL,BEFORE,AT,,,"3, 4","AT | BEFORE clause are used to query based on timestamp, offset or query id.",,Test 6,6
48,Snowflake supports transforming data while loading it into a table using the COPY command. What all options you have?,Column reordering,String Truncation,Join,Column omission,Casts,,"1, 2, 4, 5","Snowflake supports transforming data while loading it into a table using the COPY command. Options include: – Column reordering – Column omission – Casts – Truncating text strings that exceed the target column length There is no requirement for your data files to have the same number and ordering of columns as your target table. The COPY INTO transformations do not support FLATTEN, JOIN, GROUP BY.",,Test 6,6
49,"Named stages come in two varieties, what are they?",External,Permanent,Internal,Materialized,Secure,,"1, 3",External Stage and Internal Named stages are the two variant. Other stages are not names like User Stage and Table Stage.,,Test 6,6
50,Which type of view is most like a table?,Standard,Secure,Materialized,External,,,3,"Materialized views are designed to improve query performance for workloads composed of common, repeated query patterns. However, materializing intermediate results incurs additional costs. As such, before creating any materialized views, you should consider whether the costs are offset by the savings from re-using these results frequently enough.",,Test 6,6
51,Which Snowflake edition does allow for customer-managed keys encryption.,Only VPS,Standard (or higher),Enterprise (or higher),Business Critical (of higher),,,4,Business Critical (or higher) edition supports for encrypting data using customer-managed keys.,,Test 6,6
52,How can you remove the outer array structure of JSON data?,Set STRIP_INNER_ARRAY = TRUE,Set STRIP_OUTER_BRACKET = TRUE,Set STRIP_OUTER_ARRAY = 1,Set STRIP_OUTER_ARRAY = TRUE,,,4,STRIP_OUTER_ARRAY = TRUE in COPY INTO command removes the outer array structure and load the records into separate table rows.,,Test 6,6
53,"Which Snowflake Object is a named wrapper around a cluster of servers with CPU, memory, and disk",Schema,Database,Storage,Virtual Warehouse,,,4,"Virtual Warehouse is the snowflake object which is a named wrapper around a cluster of servers with CPU, memory and disk. It‘s Snowflake who managed all the complex setup behind the scene. User does not need to configure EC2 instance, physical servers or anything like that.",,Test 6,6
54,Which is not the function under Metadata Management of Cloud Services Layer?,Used for storing physical micro partition,Stores Metadata as data is loaded into the system,Handles Queries that can be processes completely from metadata,Used for Time Travel and Cloning,,,1,Metadata Management has following major functions: – Stores metadata as data is loaded into the system – Handles queries that can be processes completely from metadata -Used for Time Travel and Cloning -Every aspect of Snowflake architecture leverages metadata,,Test 6,6
55,"An hour ago, you ran a complex query. You then ran several simple queries from the same worksheet. You want to export the results from the complex query but they are no longer loaded in the Results pane of the worksheet. What is the least costly way to download the results?",Click on History -> Locate the Query -> Click the QueryID -> Use the “Export Result“ button,Click on History -> Locate the Query -> Click “Download Results“ in column 3,"Type the command Select RESULTS(,,) in the Worksheet and click “Run“",Type the command SELECT RESULTS(-3) into the Worksheet and click “Run“,,,1,"The History page displays queries executed in the last 14 days, starting with the most recent ones. You can use the End Time filter to display queries based on a specified date; however, if you specify a date earlier than the last 14 days, no results are returned. You can export results only for queries for which you can view the results (i.e. queries youve executed). If you didnt execute a query or the query result is no longer available, the Export Result button is not displayed for the query. The web interface only supports exporting results up to 100 MB in size. If a query result exceeds this limit, you are prompted whether to proceed with the export. The export prompts may differ depending on your browser. For example, in Safari, you are prompted only for an export format (CSV or TSV). After the export completes, you are prompted to download the exported result to a new window, in which you can use the Save Page As browser option to save the result to a file.",,Test 6,6
56,A CAST command (symbol) will force a value to be output as a certain datatype. Which of the following code samples will result in the “employeename“ being output using the VARCHAR datatype?,SELECT employeename::VARCHAR,SELECT employeename||VARCHAR,SELECT VARCHAR(employeename),SELECT employeename AS VARCHAR,,,1,:: is used for Casting in Snowflake.,,Test 6,6
57,Which tables will experience the most benefit from clustering?,Tables with sizes between the range of 100 MB to 1 GB compressed,Tables with sizes between the range of 1 GB to 10 GB compressed,All sizes of tables,Tables in the multi-terabyte (TB) range,,,4,"In general, tables in the multi-terabyte (TB) range will experience the most benefit from clustering, particularly if DML is performed regularly/continually on these tables.",,Test 6,6
58,Which are the correct statements about STREAMS?,Streams is used to identify and act on changed table records,STREAMS is used to scheduled SQL execution,It is used for Change Data Capture (CDC),it can not be used with TASKS,,,"1, 3","Tasks is used to scheduled SQL execution. A stream records data manipulation language (DML) changes made to a table, including information about inserts, updates, and deletes. It can be combine with TASKS to design some valuable solution.",,Test 6,6
59,Snowflake provides standard and powerful features that ensure the highest levels of security for your account and users if used properly. Which are the true statements about Snowflake Security?,Federated authentication in Snowflake is compliant with SAML 2.0,Tri-secret requires that customers manage their own keys,Snowflake supports user-based access control,,,,"1, 2","Along with Tri-Secret and Federated authentication, Snowflake supports ROLE-based access control.",,Test 6,6
60,What is the best recommended size of data file in case of SNOWPIPE continuous loading?,Same as of Bulk Loading (10 MB - 100 MB uncompressed),Same as of Bulk Loading (10 MB - 100 MB compressed),1 GB Compressed,"if file taking more than a minute, then split the files into more files",,,"2, 4",Snowpipe is designed to load new data typically within a minute after a file notification is sent. Follow the best practices as per bulk loading for file sizes (10 MB – 100 MB compressed) but split into more files if it takes more than a minute,,Test 6,6
1,If an account has federated authentication enabled. Can Snowflake admins still maintain user id and passwords in Snowflake?,No,Yes,,,,,2,"With federated authentication enabled for your account, Snowflake still allows maintaining and using Snowflake user credentials (login name and password). In other words: – Account and security administrators can still create users with passwords maintained in Snowflake. – Users can still log into Snowflake using their Snowflake credentials. However, if federated authentication is enabled for your account, Snowflake does not recommend maintaining user passwords in Snowflake. Instead, user passwords should be maintained solely in your IdP.",,Test 7,7
2,The compute resource used by Snowflake for data loading jobs can be provided by:,User managed virtual warehouse,Hardware provisioned by user directly from cloud providers,All of these,Snowflake managed service,,,"1, 4",Data loading using SNOWPIPE (Continuous Loading) consumed Snowflake managed warehouse. Manual data loading (Bulk Loading) using SQL commands like COPY INTO utilizes compute resources of warehouse created by the user.,,Test 7,7
3,Which command will help you the current permissions on a Schema?,SHOW ROLES ON SCHEMA.;,SHOW ALL PREIVILEGE ON SCHEMA.;,SHOW GRANTS ON SCHEMA.;,SHOW GRANTS OF SCHEMA.;,,,3,"To view the current set of privileges granted on an object, you can execute the SHOW GRANTS command. To view the current permissions on a schema, execute the following command: SHOW GRANTS ON SCHEMA.;",,Test 7,7
4,What data structure types can be ingested into a VARIANT column in a Snowflake table? (Check all that apply),XML,PARQUET,AVRO,ORC,JSON,,"1, 2, 3, 4, 5","Snowflake supports all these types of Semi-Structured data. JSON (JavaScript Object Notation) is a lightweight, plain-text, data-interchange format based on a subset of the JavaScript Programming Language. Avro is an open-source data serialization and RPC framework originally developed for use with Apache Hadoop. It utilizes schemas defined in JSON to produce serialized data in a compact binary format. ORC is used to store Hive data, the ORC (Optimized Row Columnar) file format was designed for efficient compression and improved performance for reading, writing, and processing data over earlier Hive file formats. Parquet is a compressed, efficient columnar data representation designed for projects in the Hadoop ecosystem. The file format supports complex nested data structures and uses Dremel record shredding and assembly algorithms. XML (Extensible Markup Language) is a markup language that defines a set of rules for encoding documents. It was originally based on SGML, another markup language developed for standardizing the structure and elements that comprise a document.",,Test 7,7
5,What level of Privilege do you need to view Resource monitor?,OWNERSHIP,USAGE,OPERATE,MONITOR,,,4,MONITOR Privilege can enable you to view a resource monitor.,,Test 7,7
6,At what frequency does Snowflake rotate the object keys?,1 Year,30 Days,16 Days,60 Days,,,2,Key automatically get rotated every 30 days.,,Test 7,7
7,Snowflake supports many methods of authentication. Which are the supported authentication methods in ALL Snowflake Editions?,MFA (Multi-factor authentication),Only MFA is supported by all the Snowflake editions,OAuth,SSO,Only MFA and SSO are supported by all the Snowflake editions,,"1, 3, 4","MFA, Oauth, SSO – all these methods are supported by all the Snowflake editions.",,Test 7,7
8,"When key: value pairs are queried from a semi-structured record and the data is not cast, what is the data type returned?The system automatically cast the value to the correct data type based on the structure",Binary,Varchar,Variant,String,,,3,Value gets return in VARIANT data type format.,,Test 7,7
9,What is the best practice after creating a custom role in a Snowflake account?,Grant ownership of the role to itself so a member of the role can control access to the role,Grant ownership to the SYSADMIN role or a child role under SYSADMIN,Grant the role to the USERADMIN role so users can be added to the role.,Grant PUBLIC to the role so all database objects owned by PUBLIC will be available to the new role,,,2,Custom role is mostly created for specific access of specific objects. As per best practice to grant ownership to SYSADMIN or child role under SYSADMIN so that SYSADMIN can control the access on the objects.,,Test 7,7
10,What is default size of unload file?,32 MB,10 MB,100 MB,16 MB,,,4,Default file size for unload is 16 MB.,,Test 7,7
11,Loading using SNOWPIPE is best useful for:,Load small volumes of data incrementally,Load large files with size of 500 MB,None of these,Data Files which takes at least 30 to 60 Minutes.,,,1,"SNOWPIPE is designed to load small volumes of data (i.e. micro-batches) and incrementally make them available for analysis. Snowpipe loads data within minutes after files are added to a stage and submitted for ingestion. This ensures users have the latest results, as soon as the raw data is available.",,Test 7,7
12,Snowflake supports transforming data while loading it into a table using the COPY command. What all options you have?,Column omission,Casts,Join,Column reordering,String Truncation,,"1, 2, 4, 5","Snowflake supports transforming data while loading it into a table using the COPY command. Options include: – Column reordering – Column omission – Casts – Truncating text strings that exceed the target column length There is no requirement for your data files to have the same number and ordering of columns as your target table. The COPY INTO transformations do not support FLATTEN, JOIN, GROUP BY.",,Test 7,7
13,Which stage is allocated to a user?,Internal named stage,External names stage,Internal user stage,Internal table stage,,,3,A user stage is allocated to each user for storing files. This stage type is designed to store files that are staged and managed by a single user but can be loaded into multiple tables. User stages cannot be altered or dropped.,,Test 7,7
14,How can you remove the outer array structure of JSON data?,Set STRIP_OUTER_ARRAY = 1,Set STRIP_OUTER_ARRAY = TRUE,Set STRIP_OUTER_BRACKET = TRUE,Set STRIP_INNER_ARRAY = TRUE,,,2,STRIP_OUTER_ARRAY = TRUE in COPY INTO command removes the outer array structure and load the records into separate table rows.,,Test 7,7
15,Snowflake can query the data from External Tables. (TRUE / FALSE),FALSE,TRUE,,,,,2,External tables enable querying existing data stored in external cloud storage for analysis without first loading it into Snowflake. The source of truth for the data remains in the external cloud storage. This solution is especially beneficial to accounts that have a large amount of data stored in external cloud storage and only want to query a portion of the data,,Test 7,7
16,External Stages require customers to have an account with a cloud storage service provider. Which of the following are available currently or have been announced by Snowflake as under development?,GCP Buckets,AWS S3,DROPBOX,MS Azure Blob,BOX,,"1, 2, 4","Snowflake currently supports AWS S3, MS Azure Blob, GCP Buckets.",,Test 7,7
17,Which key concepts should be considered when loading data into Snowflake?,Transformation and error validation,Stage Object,All of these,File Format,,,3,"All of these are key components for data loading. Stage is from where you are getting the data like AWS S3 external Stage. File Format tells Snowflake what type of data it is. Is it CSV, JSON, PARQUET, AVRO, ORC, XML etc. Transformation and error validation help getting the right data in right order and right form.",,Test 7,7
18,Time travel is available for which table types? (Select 3),Transient,Permanent,External,Temporary,,,"1, 2, 4","Permanent (0-1 days in case of Standard edition / 0 – 90 days in case of other editions), Temporary and Transient Tables are having maximum 1 day of Time-Travel. External Table is not managed by Snowflake and so Time Travel is not available for External table.",,Test 7,7
19,What is the column datatype used for ingesting semi-structured data?,NUMBER,VARIANT,FLOAT,STRING,VARCHAR,,2,Snowflake loads semi-structured data into a single VARIANT column. The VARIANT data type imposes a 16 MB (compressed) size limit on individual rows.,,Test 7,7
20,What all commands will you use to load data from your Local File System to Snowflake table?,Only COPY INTO command,COPY INTO followed by PUT command,PUT COMMAND followed by COPY INTO,Only PUT command,,,3,"When loading data from local file system to Snowflake, you need to first run PUT command to load data from local file system to Snowflake internal stage and then run COPY INTO command to copy data from Snowflake internal stage to Table.",,Test 7,7
21,"FORCE option is used to load all files, ignoring load metadata if it exists. (TRUE / FALSE)",FALSE,TRUE,,,,,2,"You can set the FORCE option to load all files, ignoring load metadata if it exists. Note that this option reloads files, potentially duplicating data in a table.",,Test 7,7
22,A user‘s default role is,The role a user is set to each time the user logs in to the system,The user‘s default role is always PUBLIC,The name used to log in to the WebUI,The user‘s default role changes each time the user logs in to the system.,,,1,The role a user is set to each time the user logs in to the system,,Test 7,7
23,What are the three Snowflake Stage types? (Select 3),Secure,Permanent,Materialized,User,Named,Table,"4, 5, 6","Internal User Stage  It is allocated to each user for storing files. Managed by a single user. Cant be altered or dropped. User Stages are referenced using @~. Internal Table Stage  It is available for each table created in Snowflake and available for one of many users but only loaded into a single table. Cant be altered or dropped. Stage is referenced as @%. When copying data from files in a table stage, the FROM clause can be omitted because Snowflake automatically checks for files in the table stage. Internal Named Stage  A named internal stage is a database object created in a schema. Stage is referenced as @.“",,Test 7,7
24,What are the features of Column-level security? (Select 2),Internal Tokenization,External Tokenization,Dynamic Data Masking,Column Masking,,,"2, 3","Column-level security in Snowflake allows the application of a masking policy to a column within a table or view. Currently, column-level security comprises two features: – Dynamic Data Masking – External Tokenization Dynamic Data Masking is a column-level security feature that uses masking policies to selectively mask plain-text data in table and view columns at query time. External Tokenization enables accounts to tokenize data before loading it into Snowflake and detokenize the data at query runtime.",,Test 7,7
25,The FLATTEN command will parse nested entities into separate rows. One version of the FLATTEN command uses a join and the other uses an object keyword. Select the two words that represent the options used with the FLATTEN command.,TABLE,CONVERT,LATERAL,SIDEWAYS,,,"1, 3",LATERAL and TABLE are the two options used to FLATTEN data.,,Test 7,7
26,SNOWPIPE AUTO_INGEST method only works with External Stages. (TRUE/FALSE),TRUE,FALSE,,,,,1,"SNOWPIPE only works with External Stages whereas, SNOWPIPE (REST) method works for both External and Internal stages.",,Test 7,7
27,Which parameter does help in loading files whose metadata has expired?,Set LAST_MODIFIED_DATE to more than 64 days,set LOAD_UNCERTAIN_FILES to TRUE,set LOAD_EXPIRED_FILES to TRUE,set LAST_MODIFIED_DATE to within 64 days,,,2,"To load files whose metadata has expired, set the LOAD_UNCERTAIN_FILES copy option to true.",,Test 7,7
28,Which role at least should have MFA configured?,ACCOUNTADMIN,SECURITYADMIN,PUBLIC,SYSADMIN,,,1,"ACCOUNTADMIN must have MFA enabled for account level security. Also, it is recommended to have at least 2 users in ACCOUNTADMIN role.",,Test 7,7
29,Snowflake black list some certain IPs by default to ensure that customer is getting highest level of Network security. (TRUE / FALSE),FALSE,TRUE,,,,,1,"Snowflake doesn‘t black list any IP. You can set Account-Level Network Policy to allow access or restrict any IP or IPs range. If you can whitelist something, everything will be black listed by default.",,Test 7,7
30,Which of the following industry compliance standards has Snowflake been audited and certified for?,SOC1,HIPAA,SOC Type 2,Cloud GBDQ,PCI DSS,FedRamp,"1, 2, 3, 5, 6",All of these except Cloud GBDQ.,,Test 7,7
31,How can you create a “Super-User“ or “Super-Role“ in Snowflake who can bypass all the authorization checks?,There is no concept of SUPER-ROLE or SUPER-USER in Snowflake,Contact Snowflake personnel to create a Super-Role or Super-User for your account,CREATE ROLE SUPER_ROLE;,ACCOUNTADMIN role is same as Super-Role,,,1,There is no concept of a super-user or super-role in Snowflake that can bypass authorization checks. All access requires appropriate access privileges.,,Test 7,7
32,A multi-cluster virtual warehouse is Auto-Scale when,MIN_CLUSTER_COUNT = 1 MAX_CLUSTER_COUNT = 4,MIN_CLUSTER_COUNT = 3 MAX_CLUSTER_COUNT = 3,Minimum number of clusters and Maximum number of clusters are same and must be specified with a value of more than 1.,Minimum and Maximum number of clusters are specified differently.,,,"1, 4","This mode is enabled by specifying different values for maximum and minimum clusters. In this mode, Snowflake starts and stops clusters as needed to dynamically manage the load on the warehouse.",,Test 7,7
33,"If you are ACCOUNTADMIN, you can query and recover data from Fail-safe without the help of Snowflake support. (TRUE/FALSE)",TRUE,FALSE,,,,,2,Only Snowflake Support can recover the data from Fail-safe.,,Test 7,7
34,Snowflake data storage costs are calculated based on: (Select 2),Uncompressed Size,Amount Stored on First Day of Month,Compressed Size,Amount Stored on Last Day of Month,Amount Stored - Daily Average,,"3, 5",All storage within Snowflake is billable in compressed format. Snowflake considers the daily average storage (in Terabytes) for billing.,,Test 7,7
35,How does Snowflake provide continuous availability?,Customer has to backup the data locally out of cloud,Fail Safe Storage,Time Travel Storage,Snowflake synchronizes data across availability zones,,,"2, 3, 4",Snowflake Transparently synchronizes data across availability zones which are geographically separated and on separate power grids. No downtime while updates and patches. Time- Travel and Fail-Safe features help customers recover data within a defined retention period.,,Test 7,7
36,How many virtual warehouses can be created in a Snowflake Account?,8,As many as needed,16,4,,,2,There is no limit. A customer can create unlimited number of warehouses.,,Test 7,7
37,How much is the Time-Travel retention period of Temporary Table?,90 days,0 days,7 days,1 day,,,4,Temporary Table has maximum of 1 day Time-Travel retention period.,,Test 7,7
38,"Scaling a Warehouse OUT will increase the number of clusters (e.g., Min to Max)",FALSE,TRUE,,,,,2,SCALING OUT means adding additional clusters. It is called Multi-Clustering.,,Test 7,7
39,Monica mistakenly dropped a table T1 last week. The database has Time-Travel retention period set to 90 days. How can Monica recover the table which she dropped last week.,Monica should contact Salesforce support to get it done,Monica can execute UNDROP TABLE T1 command after setting up the right context for Database and schema,Monica cant recover it from TIME-TRAVEL as the table T1 moved to Fail-safe,Monica can use the UI > ACCOUNT menu to recover the table T1,,,2,"UNDROP TABLE command helps recover the TABLE which is still in TIME-TRAVEL. Since, Monica dropped last week so it is just a week old drop which will be available in the Time Travel with retention period of 90 days.",,Test 7,7
40,"John wants to create a multi-cluster warehouse and wants to make sure that whenever new queries are queued, additional clusters should start immediately. How should he configure the Warehouse?",Configure as SCALE-MAX so that the warehouse is always using maximum number of specified clusters,Set the SCALING POLICY as ECONOMY,Set the SCALING POLICY as STANDARD,"Snowflake takes care of this automatically so, John does not have to worry about it",,,3,If a multi-cluster warehouse is configured with SCALING policy as STANDARD it immediately when either a query is queued or the system detects that theres one more query than the currently-running clusters can execute,,Test 7,7
41,Which vendors do support Snowflake natively for federated authentication and SSO?,Okta,Microsoft ADFS,Google G Suite,Onelogin,Microsoft Azure Active Directory,,"1, 2",Okta and Microsoft ADFS provide native Snowflake support for federated authentication and SSO. Other are not native but Snowflake supports using SAML 2.0-compliant.,,Test 7,7
42,Which types of stages are automatically available in Snowflake and do not need to be created or configured?,User,Named Internal,Table,Named External,,,"1, 3","Internal User Stage  It is allocated to each user for storing files. Managed by a single user. Cant be altered or dropped. User Stages are referenced using @~. Internal Table Stage  It is available for each table created in Snowflake and available for one of many users but only loaded into a single table. Cant be altered or dropped. Stage is referenced as @%. When copying data from files in a table stage, the FROM clause can be omitted because Snowflake automatically checks for files in the table stage.",,Test 7,7
43,Which are the correct statements about STREAMS?,STREAMS is used to scheduled SQL execution,it can not be used with TASKS,It is used for Change Data Capture (CDC),Streams is used to identify and act on changed table records,,,"3, 4","Tasks is used to scheduled SQL execution. A stream records data manipulation language (DML) changes made to a table, including information about inserts, updates, and deletes. It can be combine with TASKS to design some valuable solution.",,Test 7,7
44,What actions can be performed when an error is encountered while loading data from a file?,Continue loading the file.,Abort the load operation,Skip file,skip file when the number of errors in the file is equal to 10,,,"1, 2, 3, 4",All these actions can be taken. You can specify one or more of the following copy options : CONTINUE SKIP_FILE SKIP_FILE_(e.g. SKIP_FILE_10) SKIP_FILE_% (e.g. SKIP_FILE_10%) ABORT_STATEMENT,,Test 7,7
45,Snowflake provides standard and powerful features that ensure the highest levels of security for your account and users if used properly. Which are the true statements about Snowflake Security?,Snowflake supports user-based access control,Tri-secret requires that customers manage their own keys,Federated authentication in Snowflake is compliant with SAML 2.0,,,,"2, 3","Along with Tri-Secret and Federated authentication, Snowflake supports ROLE-based access control.",,Test 7,7
46,"If a server in warehouse cluster runs for 64 seconds, shuts down, and then restarts and runs for less than 60 seconds, for how many seconds it will be billed?",64 Seconds,120 Seconds,4 Seconds,124 Seconds,,,4,"The minimum billing charge for provisioning a server is 1 minute (i.e. 60 seconds). So, the total billing will be for 60 + 4+ 60 = 124 seconds.",,Test 7,7
47,Which objects are securable objects in Snowflake?,Database,File Format,Table,Warehouse,,,"1, 2, 3, 4","All of these are securable objects in Snowflake. Securable Object is an entity to which access can be granted. Unless allowed by a grant, access will be denied.",,Test 7,7
48,How can you ignore metadata and load the already loaded staged file into table?,Using ACCEPT = TRUE parameter with COPY INTO command,Using LOAD = TRUE parameter with COPY INTO command,Using FORCE = TRUE parameter with COPY INTO command,Using LOAD = FORCE parameter with COPY INTO command,Using INSERT = TRUE parameter with COPY INTO command,Using FORCE = YES parameter with COPY INTO command,3,"FORCE = TRUE parameter specifies to load all files, regardless of whether theyve been loaded previously and have not changed since they were loaded. Note that this option reloads files, potentially duplicating data in a table.",,Test 7,7
49,"When unloading data into multiple files, use the MAX_FILE_SIZE copy option to specify the maximum size of each file created. (TRUE / FALSE)",TRUE,FALSE,,,,,1,"True, When unloading data into multiple files, use the MAX_FILE_SIZE copy option to specify the maximum size of each file created. If you want to unload in just one file you can set SINGLE = TRUE.",,Test 7,7
50,Which type of the object key is only used for decryption?,Active key,Retired Key,None of these,Destroyed key,,,2,Active Key is used for both encryption and decryption. Retired Key is used for decryption only. Destroyed Key is no longer used.,,Test 7,7
51,"Named stages come in two varieties, what are they?",Internal,Permanent,Secure,Materialized,External,,"1, 5",External Stage and Internal Named stages are the two variant. Other stages are not names like User Stage and Table Stage.,,Test 7,7
52,Which security feature is supported in Snowflake?,Role-Based Access Control,Multi-Factor Authentication,All of these,Tri-Secret Secure Encryption,,,3,"Snowflake is highly secured platform and provides multi-level security like MFA, IP whitelisting, SSO, Tri Secret Secure, Role-Based etc.",,Test 7,7
53,Semi Structured data can be accessed: (Select 3),In a permanent table using the variant data type,In files in an external stage,In files on an AWS EC2 server,In files in a internal stage,In files in an on-prem file server,,"1, 2, 4","Snowflake CAN‘T access from AWS EC2 server and on-prem file server. Snowflake can query External Table ( files of External Stage), Internal Stage and Permanent table.",,Test 7,7
54,Snowflake provides native support for semi-structured data. Select true option about Snowflake native support for Semi-Structure data.,Automatic conversion of data to optimize internal storage format,All of these,Flexible-Schema data types for loading semi-structured data without transformation,Database Optimization for fast and efficient SQL querying.,,,2,"Snowflake provides native support for semi-structured data, including: Flexible-schema data types for loading semi-structured data without transformation. Automatic conversion of data to optimized internal storage format. Database optimization for fast and efficient SQL querying.",,Test 7,7
55,How can you create a user in Snowflake without password?,Using Salesforce Web interface,User creation without password is not possible,Using SQL Command - CREATE USER,,,,3,"Note that you cannot use the Snowflake web interface to create users with no passwords or remove passwords from existing users. You must use CREATE USER or ALTER USER. If you create a user with no password (or alter an existing user and remove their password), this effectively disables Snowflake authentication for the user. Without a password in Snowflake, a user cannot log in using Snowflake authentication and must use federated authentication instead.",,Test 7,7
56,Which role is not a Snowflake System-defined role assigned to a new account?,ACCOUNTADMIN,PUBLIC,CUSTOM,SYSADMIN,SECURITYADMIN,,3,CUSTOM ROLE is not a role which is out of the box assigned to an account. It is created by customer based on the need.,,Test 7,7
